model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card,
ras,100000,1,2,6421.491699,6772.564652,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,2,2,3422.712646,3879.448198,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,4,2,2051.395508,2473.429928,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,8,2,1357.79187,1717.520614,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,16,2,1154.126221,1518.754186,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,32,2,1628.112549,1986.951809,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,64,2,2207.959229,2559.870972,0.000001,0.000001,20000,1500,100,1,0,K20c,
earm,10,1,0,18.542385,18.86083508,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,2,0,18.658112,18.96049595,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,4,0,22.830919,23.11184907,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,8,0,27.656158,27.93846393,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,1,0,18.938246,19.41265297,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,2,0,19.192646,19.72017097,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,4,0,21.906715,22.34920287,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,8,0,27.661957,28.11079788,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,16,0,36.614021,37.06105614,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,32,0,52.870918,53.31645703,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,1,0,128.33815,130.365721,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,2,0,75.447273,78.05900812,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,4,0,45.86145,48.41295099,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,8,0,30.548683,32.83238888,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,16,0,41.660469,43.65371704,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,32,0,63.753117,65.72803402,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,64,0,63.826939,65.79848385,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,1,0,1189.540405,1207.039494,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,2,0,624.41748,644.8878839,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,4,0,385.516754,402.9215801,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,8,0,270.58902,287.7677729,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,16,0,243.744858,261.0855608,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,32,0,319.708801,340.313946,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,64,0,258.774628,284.0924649,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,1,1,15.048266,15.36541986,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,2,1,15.143388,15.43224096,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,4,1,17.675367,17.96124911,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,8,1,20.938881,21.22688389,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,1,1,15.368784,15.8454051,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,2,1,15.633165,16.09842396,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,4,1,17.225697,17.69907308,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,8,1,20.876131,21.34664702,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,16,1,27.969109,28.42985892,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,32,1,38.749481,39.24422097,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,1,1,104.733772,106.742064,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,2,1,61.277275,63.31869817,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,4,1,35.566887,37.58873606,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,8,1,40.340546,42.67369413,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,16,1,56.158962,59.19324112,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,32,1,77.561432,79.94125795,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,64,1,77.527657,80.17895889,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,1,1,970.561584,988.357764,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,2,1,506.998505,524.3596621,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,4,1,299.582947,316.888957,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,8,1,237.101715,254.520246,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,16,1,343.788239,361.482955,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,32,1,475.717102,495.970783,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,64,1,475.093964,495.6650848,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,1,2,11.895734,12.21627283,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,2,2,12.088816,12.39809299,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,4,2,14.971662,15.25872684,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10,8,2,18.372467,18.66727996,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,1,2,12.143184,12.61953115,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,2,2,12.62062,13.06551695,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,4,2,14.408143,14.85109305,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,8,2,18.192484,18.64276814,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,16,2,24.92857,25.3762331,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,100,32,2,35.929161,36.37312198,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,1,2,83.554047,85.57795405,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,2,2,50.009975,52.04842901,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,4,2,30.078537,32.07740998,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,8,2,35.345654,37.34996009,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,16,2,50.32618,52.32965779,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,32,2,72.337517,74.34821701,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,1000,64,2,72.276886,74.29967093,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,1,2,772.860901,790.2915349,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,2,2,416.834381,438.7057419,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,4,2,255.151398,272.4937041,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,8,2,208.557587,225.9665279,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,16,2,306.588287,323.9052761,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,32,2,441.558929,458.9676912,0.000001,0.000001,20000,20000,100,1,0,K20c,
earm,10000,64,2,441.276276,458.63815,0.000001,0.000001,20000,20000,100,1,0,K20c,
