model,nSims,tpb,mem,endTimeOfSim,rtol,atol,pysbTime,cupSODATime
tyson,10,4,0,0.811649799347,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.406377
tyson,10,8,0,0.903143882751,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.493059
tyson,10,1,1,0.716646909714,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.295688
tyson,10,2,1,0.718993186951,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.304897
tyson,10,4,1,0.7833340168,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.3657
tyson,10,8,1,0.870131969452,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.449233
tyson,10,1,2,0.669366121292,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.261317
tyson,10,2,2,0.707352876663,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.278542
tyson,10,4,2,0.756501913071,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.338435
tyson,10,8,2,0.845963001251,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.428765
tyson,100,1,0,0.841362953186,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.324066
tyson,100,2,0,0.858810901642,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.334107
tyson,100,4,0,0.909427165985,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.378385
tyson,100,8,0,1.0105919838,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.482904
tyson,100,16,0,1.16170096397,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.639609
tyson,100,32,0,1.45760297775,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.94547
tyson,100,64,0,1.46764302254,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.9313
tyson,100,1,1,0.830484867096,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.291162
tyson,100,2,1,0.876577138901,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.302048
tyson,100,4,1,0.892929077148,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.341889
tyson,100,8,1,0.978977918625,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.441588
tyson,100,16,1,1.10794591904,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.580585
